Film,Budget,BoxOfficeUSCanada,BoxOfficeOther
Toy Story,30000000,223225679,171210907
A Bug's Life,120000000,162798565,200460294
Toy Story 2,90000000,245852179,265506097
"Monsters, Inc.",115000000,255873250,272900000
Finding Nemo,94000000,339714978,531300000
The Incredibles,92000000,261441092,370001000
Cars,120000000,244082982,217900167
Ratatouille,150000000,206445654,417280431
WALL-E,180000000,223808164,297503696
Up,175000000,293004164,442094918
Toy Story 3,200000000,415004880,651964823
Cars 2,200000000,191452396,368400000
Brave,185000000,237283207,301700000
Monsters University,200000000,268492764,475066843
Inside Out,175000000,356461711,501149463
The Good Dinosaur,175000000,123087120,209120551
Finding Dory,200000000,486295561,542275328
Cars 3,175000000,152901115,231029541
Coco,175000000,210460015,604181157
Incredibles 2,200000000,608581744,634223615
Toy Story 4,200000000,434038008,639356585
Onward,175000000,61555145,80384897
Soul,150000000,946154,120957731
Luca,NA,1324302,49788012
Turning Red,175000000,1399001,20414357
Lightyear,200000000,118307188,108118232
Elemental,200000000,154426697,342017611
Inside Out 2,200000000,652980194,1045050771
